date,sales,dayofweek,day,lag_1,lag_3,lag_7,lag_35,lag_21,lag_14,lag_28,lag_30,lag_60,rolling_7,rolling_7_std,rolling_14_mean,rolling_28_mean,rolling_30,rolling_60,rolling_90,rolling_30_std,ewm_7,ewm_14,dow_sin,dow_cos,forecast,std_dev,safety_stock,reorder_point,EOQ
2011-04-28,2031,3,28,2025.0,2374.0,2421.0,2215.0,2878.0,2455.0,2468.0,2126.0,3441.0,2638.714285714286,766.3099273543993,2720.5,2948.9285714285716,2907.3333333333335,2925.2,3016.3444444444444,722.0167795038124,2376.305995365739,2588.941840699822,0.43388373911755823,0.43388373911755823,,,0.0,,11995.0548143808
2011-04-29,2613,4,29,2031.0,2031.0,3078.0,2653.0,3175.0,2764.0,3367.0,2182.0,2202.0,2572.285714285714,741.6406844031042,2709.714285714286,2922.0,2921.7,2932.05,2998.4222222222224,711.2948440502105,2435.479496524557,2592.149602364752,-0.433883739117558,-0.433883739117558,,,0.0,,11995.0548143808
2011-04-30,3480,5,30,2613.0,2025.0,4089.0,3810.0,3984.0,3485.0,4164.0,2468.0,2500.0,2485.285714285714,543.2503150131665,2709.3571428571427,2897.5714285714284,2955.4333333333334,2948.383333333333,2991.9777777777776,713.031105542573,2696.609622394254,2710.529882197873,-0.9749279121818236,-0.9749279121818236,,,0.0,,11995.0548143808
2011-05-01,3568,6,1,3480.0,2031.0,2843.0,3879.0,4036.0,3923.0,4219.0,3367.0,2481.0,2588.8571428571427,675.7646110324285,2684.0,2874.3214285714284,2962.133333333333,2966.5,3001.211111111111,717.959067766753,2914.4572167962137,2824.859421084888,-0.7818314824680299,-0.7818314824680299,,,0.0,,11995.0548143808
2011-05-02,2839,0,2,3568.0,2613.0,2374.0,2730.0,2946.0,2680.0,3517.0,4164.0,2467.0,2655.285714285714,673.976437344243,2695.3571428571427,2850.1071428571427,2917.9666666666667,2972.7,2999.8444444444444,681.293115476299,2895.5929125971265,2826.7448343202373,0.0,0.0,,,0.0,,11995.0548143808
2011-05-03,2716,1,3,2839.0,3480.0,2031.0,2126.0,2424.0,2164.0,2649.0,4219.0,2903.0,2753.1428571428573,615.4113606825464,2734.785714285714,2852.5,2867.866666666667,2969.5833333333335,3001.5333333333333,636.0831507850552,2850.6946844477843,2811.9788379941806,0.7818314824680298,0.7818314824680298,,,0.0,,11995.0548143808
2011-05-04,2511,2,4,2716.0,3568.0,2025.0,2182.0,2158.0,2179.0,2511.0,3517.0,3979.0,2822.5714285714284,542.6917041141187,2758.5,2852.5,2834.3333333333335,2945.116666666667,2994.4222222222224,627.1362571702189,2765.7710133357523,2771.848282882964,0.9749279121818236,0.9749279121818236,,,0.0,,11995.0548143808
2011-05-05,2323,3,5,2511.0,2839.0,2031.0,2468.0,2455.0,2421.0,2878.0,2649.0,4646.0,2864.285714285714,479.21662265469456,2751.5,2832.6785714285716,2823.4666666666667,2906.4,2983.3777777777777,633.2528902330453,2655.07826000173,2712.0017891002444,0.43388373911755823,0.43388373911755823,,,0.0,,11995.0548143808
2011-05-06,3016,4,6,2323.0,2716.0,2613.0,3367.0,2764.0,3078.0,3175.0,2511.0,3011.0,2921.8571428571427,468.0745768825841,2747.0714285714284,2827.0,2840.3,2906.483333333333,2958.3555555555554,631.3696195983172,2745.308695001349,2752.5349167959216,-0.433883739117558,-0.433883739117558,,,0.0,,11995.0548143808
2011-05-07,3713,5,7,3016.0,2511.0,3480.0,4164.0,3485.0,4089.0,3984.0,2878.0,2915.0,2955.1428571428573,519.8061909889848,2720.214285714286,2817.3214285714284,2868.133333333333,2919.7833333333333,2952.9555555555557,651.1831001224288,2987.231521251115,2880.597018000808,-0.9749279121818236,-0.9749279121818236,,,0.0,,11995.0548143808
2011-05-08,2886,6,8,3713.0,2323.0,3568.0,4219.0,3923.0,2843.0,4036.0,3175.0,2686.0,2857.714285714286,444.20930287636395,2723.285714285714,2776.25,2858.5,2923.116666666667,2950.788888888889,648.6195287712573,2961.923640938328,2881.3174160400213,-0.7818314824680299,-0.7818314824680299,,,0.0,,11995.0548143808
2011-05-09,2922,0,9,2886.0,3016.0,2839.0,3517.0,2680.0,2374.0,2946.0,3984.0,2581.0,2869.5714285714284,444.7339493610604,2762.4285714285716,2775.3928571428573,2823.1,2928.8,2950.711111111111,613.0814959608997,2951.9427307037436,2886.7417634348944,0.0,0.0,,,0.0,,11995.0548143808
2011-05-10,2887,1,10,2922.0,3713.0,2716.0,2649.0,2164.0,2031.0,2424.0,4036.0,3163.0,2894.0,439.55886977741744,2823.5714285714284,2791.9285714285716,2784.8,2924.2,2953.1555555555556,569.0024180301323,2935.707048027805,2886.77619499268,0.7818314824680298,0.7818314824680298,,,0.0,,11995.0548143808
2011-05-11,2537,2,11,2887.0,2886.0,2511.0,2511.0,2179.0,2025.0,2158.0,2946.0,4005.0,2897.714285714286,435.8775494278625,2860.1428571428573,2805.464285714286,2771.1666666666665,2899.733333333333,2949.588888888889,569.905986398926,2836.0302860208403,2840.1393504798903,0.9749279121818236,0.9749279121818236,,,0.0,,11995.0548143808
2011-05-12,2204,3,12,2537.0,2922.0,2323.0,2878.0,2421.0,2031.0,2455.0,2424.0,3970.0,2880.714285714286,463.4751752739716,2872.5,2796.5,2763.8333333333335,2870.3,2940.5555555555557,575.9110373907633,2678.0227145156146,2755.3207412343218,0.43388373911755823,0.43388373911755823,,,0.0,,11995.0548143808
2011-05-13,2866,4,13,2204.0,2887.0,3016.0,3175.0,3078.0,2613.0,2764.0,2158.0,2787.0,2859.285714285714,459.6294573841396,2890.5714285714284,2800.1428571428573,2787.4333333333334,2871.616666666667,2925.511111111111,564.6246042089916,2725.0170358867144,2770.0779801366375,-0.433883739117558,-0.433883739117558,,,0.0,,11995.0548143808
2011-05-14,3637,5,14,2866.0,2537.0,3713.0,3984.0,4089.0,3480.0,3485.0,2455.0,2333.0,2848.4285714285716,436.4137399085332,2901.785714285714,2805.5714285714284,2826.8333333333335,2893.35,2918.811111111111,581.6121520414599,2953.012776915049,2885.6676126554676,-0.9749279121818236,-0.9749279121818236,,,0.0,,11995.0548143808
2011-05-15,3701,6,15,3637.0,2204.0,2886.0,4036.0,2843.0,3568.0,3923.0,2764.0,2431.0,2964.8571428571427,543.647995358342,2911.285714285714,2797.6428571428573,2858.0666666666666,2914.516666666667,2930.177777777778,602.8913628526274,3140.009582686295,2994.3786219818535,-0.7818314824680299,-0.7818314824680299,,,0.0,,11995.0548143808
2011-05-16,2498,0,16,3701.0,2866.0,2922.0,2946.0,2374.0,2839.0,2680.0,3485.0,2374.0,2904.285714285714,572.0948972229801,2886.9285714285716,2791.1428571428573,2825.1666666666665,2916.5833333333335,2931.6666666666665,594.36991171662,2979.507187014716,2928.1947928713093,0.0,0.0,,,0.0,,11995.0548143808
2011-05-17,2064,1,17,2498.0,3637.0,2887.0,2424.0,2031.0,2716.0,2164.0,3923.0,2668.0,2786.714285714286,654.825094786314,2840.3571428571427,2787.5714285714284,2763.2,2906.516666666667,2929.9222222222224,572.4699299436213,2750.630390261031,2812.968801105128,0.7818314824680298,0.7818314824680298,,,0.0,,11995.0548143808
2011-05-18,2117,2,18,2064.0,3701.0,2537.0,2158.0,2025.0,2511.0,2179.0,2680.0,4034.0,2726.714285714286,699.2538199837775,2812.214285714286,2785.3571428571427,2744.4333333333334,2874.5666666666666,2931.511111111111,584.3953363908732,2592.2227926957707,2720.1729474289914,0.9749279121818236,0.9749279121818236,,,0.0,,11995.0548143808
2011-05-19,2100,3,19,2117.0,2498.0,2204.0,2455.0,2031.0,2323.0,2421.0,2164.0,3801.0,2711.8571428571427,713.1772637457042,2796.285714285714,2773.8928571428573,2742.3,2846.2166666666667,2922.322222222222,586.6995442067544,2469.1670945218266,2637.483210657107,0.43388373911755823,0.43388373911755823,,,0.0,,11995.0548143808
2011-05-20,2556,4,20,2100.0,2064.0,2866.0,2764.0,2613.0,3016.0,3078.0,2179.0,2532.0,2667.5714285714284,711.6335332980633,2763.4285714285716,2755.25,2754.866666666667,2846.616666666667,2901.3555555555554,578.1939021692867,2490.8753208913704,2626.6187813797824,-0.433883739117558,-0.433883739117558,,,0.0,,11995.0548143808
2011-05-21,3353,5,21,2556.0,2117.0,3637.0,3485.0,3480.0,3713.0,4089.0,2421.0,2394.0,2627.0,652.8185046396891,2737.714285714286,2728.964285714286,2785.9333333333334,2862.6,2895.777777777778,584.63899461376,2706.40649066853,2723.469619720719,-0.9749279121818236,-0.9749279121818236,,,0.0,,11995.0548143808
2011-05-22,3467,6,22,3353.0,2100.0,3701.0,3923.0,3568.0,2886.0,2843.0,3078.0,2016.0,2593.5714285714284,591.7958142081485,2779.214285714286,2751.25,2798.9,2886.7833333333333,2898.8,595.552038897091,2896.5548680013985,2822.6070119120577,-0.7818314824680299,-0.7818314824680299,,,0.0,,11995.0548143808
2011-05-23,2395,0,23,3467.0,2556.0,2498.0,2680.0,2839.0,2922.0,2374.0,4089.0,2215.0,2578.8571428571427,595.8348285029523,2741.5714285714284,2752.0,2742.4333333333334,2889.7833333333333,2899.0555555555557,547.3732688050253,2771.166151001048,2765.592739592924,0.0,0.0,,,0.0,,11995.0548143808
